timestamp,open,high,low,close,volume,rsi_14,is_target_date,rsi_below_30,rsi_above_70,time_after_0917,prev_high,prev_low,prev_close,prev_rsi,potential_entry,signal_type
2024-10-29 09:19:00,24270.2,24298.05,24269.9,24293.65,0,38.4687952083762, True          , False       , False       , True           ,24272.0,24252.6,   24265.95,26.067181465808854, False,BULLISH
2024-10-29 11:42:00,24234.7,24234.7,24225.0,24228.1,0,66.13889615299001, True          , False       , False       , True           ,24246.25,24236.1,   24236.1 ,72.67222581165836, False,BEARISH
2024-10-29 12:05:00,24281.0,24281.45,24265.55,24266.1,0,63.17900535500157, True          , False       , False       , True           ,24285.9,24277.1,   24281.2 ,73.50033819946779, False,BEARISH
2024-10-29 12:17:00,24300.2,24300.25,24292.55,24296.8,0,69.66585802355928, True          , False       , False       , True           ,24303.45,24293.05,   24299.75,72.04339178342576, False,BEARISH
2024-10-29 12:53:00,24325.7,24330.35,24320.6,24320.6,0,66.61402880815535, True          , False       , False       , True           ,24329.65,24322.65,   24326.05,71.78658970127837, False,BEARISH
2024-10-29 13:05:00,24344.5,24346.8,24334.5,24336.1,0,64.87617593330123, True          , False       , False       , True           ,24344.9,24337.8,   24344.75,73.49604272650623, False,BEARISH
2024-10-29 14:13:00,24411.3,24417.95,24407.2,24411.3,0,81.41720437941305, True          , False       , True        , True           ,24414.2,24408.35,   24411.45,81.55424312912389, False,BEARISH
2024-10-29 14:19:00,24437.45,24439.75,24420.8,24425.35,0,75.74263509623191, True          , False       , True        , True           ,24435.45,24428.55,   24434.95,84.83814839595365, False,BEARISH
2024-10-29 14:23:00,24433.65,24436.2,24428.7,24429.6,0,73.93862298434003, True          , False       , True        , True           ,24441.7,24430.9,   24433.8 ,78.14194022163974, False,BEARISH
2024-10-29 14:24:00,24430.3,24435.4,24427.45,24431.5,0,74.60414109435197, True          , False       , True        , True           ,24436.2,24428.7,   24429.6 ,73.93862298434003, False,BEARISH
2024-10-29 14:25:00,24432.45,24432.5,24422.7,24424.2,0,67.47467121491202, True          , False       , False       , True           ,24435.4,24427.45,   24431.5 ,74.60414109435197, False,BEARISH
2024-10-29 15:09:00,24482.9,24483.3,24473.05,24477.15,0,65.52570646992106, True          , False       , False       , True           ,24484.5,24479.15,   24483.15,70.7298810950105, False,BEARISH
